;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
wallstreetkong;wallstreetkong;;;;;;;;;;;;;Tweet;26/05/2022 08:47;#SafeTF2;;;safetf2;26/05/2022 08:47;https://twitter.com/#!/wallstreetkong/status/1529745935454064641;;;1529745935454064641;
h10ur_s;derdiedasjan136;;;;;;;;;;;;;Mentions;26/05/2022 08:58;RT @derdiedasjan136: Today is the Day Today we will safe Tf2 Valve cant Ignore us Forever So Help us to Safe tf2 #SafeTF2 #TF2 https://t.co…;;;safetf2 tf2;26/05/2022 08:58;https://twitter.com/#!/h10ur_s/status/1529748853137760257;;;1529748853137760257;
h10ur_s;redlix_tf;;;;;;;;;;;;;Mentions;26/05/2022 08:58;RT @redlix_tf: Let’s save this damned game #safetf2 https://t.co/bQWarP3np6;;;safetf2;26/05/2022 08:58;https://twitter.com/#!/h10ur_s/status/1529748906493595654;;;1529748906493595654;
h10ur_s;janek_fox;;;;;;;;;;;;;Mentions;26/05/2022 08:59;"RT @Janek_Fox: Repost for #SafeTF2 

#TF2 #tf2pyro #TF2fanart https://t.co/Tu9gd41Jq8";;;safetf2 tf2 tf2pyro tf2fanart;26/05/2022 08:59;https://twitter.com/#!/h10ur_s/status/1529748971031232512;;;1529748971031232512;
h10ur_s;dude_stay;;;;;;;;;;;;;Mentions;26/05/2022 09:00;RT @dude_stay: Plz help us save the this game from crazy bots and help join the tf2 community. #SafeTF2 https://t.co/YzjzgfiUe9;;;safetf2;26/05/2022 09:00;https://twitter.com/#!/h10ur_s/status/1529749226976071681;;;1529749226976071681;
smuwus;smuwus;;;;;;;;;;;;;Tweet;26/05/2022 09:01;#SafeTF2;;;safetf2;26/05/2022 09:01;https://twitter.com/#!/smuwus/status/1529749567784239106;;;1529749567784239106;
stosin2;stosin2;;;;;;;;;;;;;Tweet;26/05/2022 09:05;#safetf2 fix the bots pls;;;safetf2;26/05/2022 09:05;https://twitter.com/#!/stosin2/status/1529750553324036096;;;1529750553324036096;
navi1337_;navi1337_;;;;;;;;;;;;;Tweet;26/05/2022 09:12;#SafeTF2;;;safetf2;26/05/2022 09:12;https://twitter.com/#!/navi1337_/status/1529752309038821383;;;1529752309038821383;
elian77808966;mrgameandplay2;;;;;;;;;;;;;Mentions;26/05/2022 09:12;"RT @Mrgameandplay2: Quiza no tengo mas de 4000 horas en tf2 pero aun asi este juego es especial para mi..

 #SafeTF2 https://t.co/KmQWa2sA2i";;;safetf2;26/05/2022 09:12;https://twitter.com/#!/elian77808966/status/1529752315938410497;;;1529752315938410497;
3ermundoman;mrgameandplay2;;;;;;;;;;;;;Mentions;26/05/2022 09:32;"RT @Mrgameandplay2: Quiza no tengo mas de 4000 horas en tf2 pero aun asi este juego es especial para mi..

 #SafeTF2 https://t.co/KmQWa2sA2i";;;safetf2;26/05/2022 09:32;https://twitter.com/#!/3ermundoman/status/1529757232757280768;;;1529757232757280768;
eppsnl;eppsnl;;;;;;;;;;;;;Tweet;26/05/2022 09:34;Even after a long hiatus of playing between 2014 and 2018 I came back to a delightful game that puts a smile on my… https://t.co/6rBm89jVSD;https://twitter.com/i/web/status/1529757820123586560;twitter.com;;26/05/2022 09:34;https://twitter.com/#!/eppsnl/status/1529757820123586560;;;1529757820123586560;1529757818152271872
eppsnl;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 09:34;At this point all the TF2 community wants from @valvesoftware is some actual communication on the state of their be… https://t.co/uSG0cuWfPq;https://twitter.com/i/web/status/1529757821826383874;twitter.com;;26/05/2022 09:34;https://twitter.com/#!/eppsnl/status/1529757821826383874;;;1529757821826383874;1529757820123586560
roberteoidgaf;dude_stay;;;;;;;;;;;;;Mentions;26/05/2022 09:36;RT @dude_stay: Plz help us save the this game from crazy bots and help join the tf2 community. #SafeTF2 https://t.co/YzjzgfiUe9;;;safetf2;26/05/2022 09:36;https://twitter.com/#!/roberteoidgaf/status/1529758357615259648;;;1529758357615259648;
patpol51444250;patpol51444250;;;;;;;;;;;;;Tweet;26/05/2022 10:03;#SafeTF2 i love it since i played first time. Gamę Has Infinite potential and thankfully to weapons game Has really… https://t.co/Bx6rQIwKNX;https://twitter.com/i/web/status/1529765258990129152;twitter.com;safetf2;26/05/2022 10:03;https://twitter.com/#!/patpol51444250/status/1529765258990129152;;;1529765258990129152;
wonter210;wonter210;;;;;;;;;;;;;Tweet;26/05/2022 10:11;"noticias among us
 #SafeTF2";;;safetf2;26/05/2022 10:11;https://twitter.com/#!/wonter210/status/1529767276295213058;;;1529767276295213058;
tezeta54369292;tezeta54369292;;;;;;;;;;;;;Tweet;26/05/2022 10:13;#SafeTF2;;;safetf2;26/05/2022 10:13;https://twitter.com/#!/tezeta54369292/status/1529767624825098241;;;1529767624825098241;
unfantasm;unfantasm;;;;;;;;;;;;;Tweet;26/05/2022 10:18;#SafeTF2 https://t.co/PQvkwQ9GLc;;;safetf2;26/05/2022 10:18;https://twitter.com/#!/unfantasm/status/1529768925998858240;;;1529768925998858240;
postrome;postrome;;;;;;;;;;;;;Tweet;26/05/2022 10:21;#SafeTF2;;;safetf2;26/05/2022 10:21;https://twitter.com/#!/postrome/status/1529769728264265728;;;1529769728264265728;
postrome;redsoney;;;;;;;;;;;;;Mentions;26/05/2022 10:22;RT @redsoney: Choć gram w TF2 dopiero rok to już zdążyłem się w niej zakochać. Łamie mi się serce widząc jak z Team Fortressem 2 obchodzi s…;;;;26/05/2022 10:22;https://twitter.com/#!/postrome/status/1529769919193223168;;;1529769919193223168;
esmilios;esmilios;;;;;;;;;;;;;Tweet;26/05/2022 10:22;#safeTF2 https://t.co/6rL8cskHcr;;;safetf2;26/05/2022 10:22;https://twitter.com/#!/esmilios/status/1529770064395788290;;;1529770064395788290;
lautaro_prado6;mrgameandplay2;;;;;;;;;;;;;Replies to;26/05/2022 10:27;@Mrgameandplay2 #SafeTF2;;;safetf2;26/05/2022 10:27;https://twitter.com/#!/lautaro_prado6/status/1529771287941373952;;;1529771287941373952;1529670342251274241
lautaro_prado6;mrgameandplay2;;;;;;;;;;;;;Mentions;26/05/2022 10:27;"RT @Mrgameandplay2: Quiza no tengo mas de 4000 horas en tf2 pero aun asi este juego es especial para mi..

 #SafeTF2 https://t.co/KmQWa2sA2i";;;safetf2;26/05/2022 10:27;https://twitter.com/#!/lautaro_prado6/status/1529771312813572096;;;1529771312813572096;
shockblaster1;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 10:38;"Yo, @valvesoftware 

#SafeTF2";;;safetf2;26/05/2022 10:38;https://twitter.com/#!/shockblaster1/status/1529773992063680513;;;1529773992063680513;
ghadiw_safetf2;dota2;;;;;;;;;;;;;Replies to;26/05/2022 10:44;"@DOTA2 @valvesoftware #SafeTF2 
update tf2 plz !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!… https://t.co/VUrZjIeo5N";https://twitter.com/i/web/status/1529775416642359296;twitter.com;safetf2;26/05/2022 10:44;https://twitter.com/#!/ghadiw_safetf2/status/1529775416642359296;;;1529775416642359296;1528397637434474497
safiroanejo;dota2;;;;;;;;;;;;;Mentions;26/05/2022 10:45;"RT @Ghadiw_safetf2: @DOTA2 @valvesoftware #SafeTF2 
update tf2 plz !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!…";;;safetf2;26/05/2022 10:45;https://twitter.com/#!/safiroanejo/status/1529775673975488513;;;1529775673975488513;
ghadiw_safetf2;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 10:44;"@DOTA2 @valvesoftware #SafeTF2 
update tf2 plz !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!… https://t.co/VUrZjIeo5N";https://twitter.com/i/web/status/1529775416642359296;twitter.com;safetf2;26/05/2022 10:44;https://twitter.com/#!/ghadiw_safetf2/status/1529775416642359296;;;1529775416642359296;1528397637434474497
safiroanejo;ghadiw_safetf2;;;;;;;;;;;;;Mentions;26/05/2022 10:45;"RT @Ghadiw_safetf2: @DOTA2 @valvesoftware #SafeTF2 
update tf2 plz !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!…";;;safetf2;26/05/2022 10:45;https://twitter.com/#!/safiroanejo/status/1529775673975488513;;;1529775673975488513;
